K	N
2210	92
2211	76
2212	105
2213	83
2214	65
2215	70
2216	88
2217	71
2218	104
2219	73
2220	88
2221	76
2222	95
2223	100
2224	77
2225	82
2226	85
2227	83
2228	64
2229	92
2230	104
2231	87
2232	106
2233	91
2234	86
2235	84
2236	99
2237	72
2238	102
2239	96
2240	85
2241	98
2242	81
2243	85
2244	111
2245	100
2246	92
2247	101
2248	99
2249	100
2250	108
2251	80
2252	96
2253	89
2254	93
2255	103
2256	105
2257	86
2258	119
2259	76
2260	96
2261	85
2262	92
2263	94
2264	83
2265	93
2266	105
2267	78
2268	89
2269	105
2270	90
2271	95
2272	87
2273	103
2274	95
2275	97
2276	82
2277	84
2278	92
2279	105
2280	87
2281	103
2282	98
2283	80
2284	91
2285	90
2286	90
2287	95
2288	99
2289	97
2290	96
2291	109
2292	82
2293	95
2294	114
2295	92
2296	103
2297	98
2298	92
2299	99
2300	95
2301	76
2302	90
2303	88
2304	99
2305	81
2306	81
2307	101
2308	110
2309	91
2310	83
2311	98
2312	101
2313	80
2314	115
2315	105
2316	95
2317	103
2318	95
2319	95
2320	106
2321	76
2322	101
2323	107
2324	107
2325	89
2326	104
2327	94
2328	108
2329	112
2330	87
2331	96
2332	101
2333	105
2334	100
2335	93
2336	100
2337	91
2338	119
2339	97
2340	92
2341	93
2342	98
2343	95
2344	95
2345	99
2346	83
2347	99
2348	107
2349	116
2350	92
2351	94
2352	108
2353	93
2354	103
2355	92
2356	107
2357	108
2358	102
2359	85
2360	101
2361	102
2362	94
2363	88
2364	78
2365	84
2366	98
2367	104
2368	100
2369	102
2370	101
2371	92
2372	87
2373	101
2374	98
2375	105
2376	90
2377	75
2378	100
2379	90
2380	103
2381	85
2382	97
2383	84
2384	110
2385	102
2386	110
2387	89
2388	116
2389	100
2390	102
2391	94
2392	94
2393	79
2394	118
2395	79
2396	92
2397	79
2398	103
2399	106
2400	122
2401	113
2402	83
2403	96
2404	96
2405	90
2406	71
2407	84
2408	88
2409	99
2410	95
2411	97
2412	89
2413	81
2414	94
2415	93
2416	89
2417	85
2418	98
2419	91
2420	86
2421	91
2422	103
2423	88
2424	103
2425	81
2426	84
2427	96
2428	92
2429	100
2430	77
2431	90
2432	99
2433	94
2434	97
2435	92
2436	99
2437	81
2438	87
2439	91
2440	82
2441	99
2442	95
2443	84
2444	124
2445	88
2446	108
2447	96
2448	112
2449	98
2450	90
2451	85
2452	86
2453	90
2454	90
2455	88
2456	95
2457	95
2458	90
2459	95
2460	102
2461	87
2462	107
2463	90
2464	93
2465	89
2466	104
2467	81
2468	92
2469	101
2470	85
2471	94
2472	101
2473	88
2474	103
2475	91
2476	87
2477	105
2478	92
2479	103
2480	90
2481	88
2482	123
2483	83
2484	87
2485	96
2486	102
2487	93
2488	92
2489	96
2490	91
2491	84
2492	82
2493	107
2494	116
2495	94
2496	81
2497	107
2498	82
2499	99
2500	82
2501	97
2502	101
2503	88
2504	97
2505	89
2506	85
2507	101
2508	91
2509	114
2510	80
2511	90
2512	101
2513	93
2514	86
2515	76
2516	96
2517	96
2518	69
2519	85
2520	74
2521	72
2522	76
2523	93
2524	82
2525	91
2526	81
2527	91
2528	93
2529	92
2530	89
2531	81
2532	90
2533	87
2534	85
2535	98
2536	76
2537	82
2538	72
2539	80
2540	69
2541	87
2542	69
2543	88
2544	72
2545	68
2546	84
2547	89
2548	83
2549	75
2550	73
2551	84
2552	79
2553	76
2554	62
2555	73
2556	69
2557	83
2558	70
2559	78
2560	78
2561	88
2562	65
2563	68
2564	67
2565	83
2566	79
2567	67
2568	80
2569	73
2570	81
2571	78
2572	71
2573	97
2574	80
2575	73
2576	60
2577	62
2578	62
2579	62
2580	66
2581	74
2582	84
2583	76
2584	85
2585	61
2586	77
2587	71
2588	78
2589	51
2590	71
2591	55
2592	68
2593	61
2594	81
2595	62
2596	65
2597	64
2598	65
2599	75
2600	70
2601	63
2602	63
2603	60
2604	63
2605	79
2606	51
2607	73
2608	70
2609	61
2610	60
2611	67
2612	72
2613	59
2614	75
2615	71
2616	60
2617	70
2618	63
2619	65
2620	62
2621	54
2622	67
2623	73
2624	52
2625	60
2626	64
2627	63
2628	60
2629	59
2630	55
2631	76
2632	59
2633	59
2634	65
2635	59
2636	73
2637	63
2638	64
2639	59
2640	66
2641	65
2642	54
2643	82
2644	66
2645	56
2646	59
2647	68
2648	64
2649	58
2650	58
